,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2022-09-01,16.78,3966.85009765625,109.69000244140625,86.61000061035156,9.26200008392334,2.3852999210357666,781.0,2277.25,17.068,-2.587043914025881,27.717976938441566,-14.124872057318317,0.26285714285714235,-1.7652624261955996
2022-09-02,17.3,3924.260009765625,109.52999877929688,86.87000274658203,8.78600025177002,2.463599920272827,780.0,2276.5,17.028,-2.6176554509910175,37.21362079209481,-11.008230452674894,0.29714285714285665,-1.2846906809536893
2022-09-05,17.3,3912.2074584960938,110.03999900817871,86.87749862670898,8.305250406265259,2.4278249740600586,776.25,2255.125,17.056,-2.6133405138926853,37.21362079209481,-9.707724425887266,0.25714285714285673,-0.9713030869043902
2022-09-06,17.3,3908.18994140625,110.20999908447266,86.87999725341797,8.145000457763672,2.4158999919891357,775.0,2248.0,17.128000000000004,-2.5814082147167454,37.21362079209481,-8.851422550052689,0.24714285714285694,-0.7547987905292786
2022-09-07,17.17,3979.8701171875,109.83999633789062,81.94000244140625,7.8420000076293945,2.3076999187469482,800.0,2221.0,17.169999999999998,-2.5869439168339725,35.7472921213741,-2.6091888825864884,0.24642857142857114,-0.9157925974186174
2022-09-08,16.93,4006.179931640625,109.70999908447266,83.54000091552734,7.914999961853027,2.346100091934204,812.0,2240.25,17.2,-2.6724935568819435,33.15030664263399,-3.3675799086757996,0.2564285714285714,-1.2165816459261993
2022-09-09,16.89,4067.360107421875,109.0,86.79000091552734,7.995999813079834,2.4330999851226807,818.0,2275.75,17.118000000000002,-2.7295286817117863,32.723608266581564,-3.485714285714281,0.23928571428571413,-1.547215197958737
2022-09-12,17.26,4110.41015625,108.33000183105469,87.77999877929688,8.24899959564209,2.4447999000549316,805.0,2272.5,17.110000000000003,-2.574937987582421,40.36950254253414,0.5827505827505908,0.2528571428571428,-1.2236366330667092
2022-09-13,17.14,3932.68994140625,109.81999969482422,87.30999755859375,8.284000396728516,2.4804000854492188,805.0,2299.5,17.078,-2.479884075854159,38.828236980225945,1.1806375442739103,0.1649999999999999,-1.2982057080593616
2022-09-14,17.26,3946.010009765625,109.66000366210938,88.4800033569336,9.11400032043457,2.5244998931884766,793.0,2259.25,17.095999999999997,-2.322415485502685,41.244035549370736,1.7688679245283057,0.16571428571428573,-0.8925107198236866
2022-09-15,17.52,3901.35009765625,109.73999786376953,85.0999984741211,8.324000358581543,2.4286999702453613,800.0,2290.75,17.214000000000002,-2.0531572389245407,46.2014693332835,4.410011918951118,0.18285714285714277,-0.32722543192512177
2022-09-16,17.37,3873.330078125,109.76000213623047,85.11000061035156,7.763999938964844,2.4156999588012695,789.0,2264.25,17.310000000000002,-1.887542125139798,43.90016673979117,0.4046242774566444,0.1692857142857141,-0.38440641124615205
2022-09-19,17.17,3899.889892578125,109.73999786376953,85.7300033569336,7.751999855041504,2.464099884033203,787.0,2235.5,17.292,-1.8281982638467218,40.96990561898714,-0.7514450867051936,0.1678571428571427,-0.6910344108551048
2022-09-20,16.9,3855.929931640625,110.22000122070312,84.44999694824219,7.7170000076293945,2.4477999210357666,798.0,2228.25,17.244,-1.8857003688688163,37.34580360569019,-2.3121387283237094,0.1857142857142858,-1.0718336460719406
2022-09-21,16.78,3789.929931640625,110.63999938964844,82.94000244140625,7.7789998054504395,2.4865000247955322,798.0,2179.75,17.148000000000003,-1.9659065637701014,35.82885607890003,-2.2714036109493296,0.18142857142857136,-1.4483575471995618
2022-09-22,16.73,3757.989990234375,111.3499984741211,83.48999786376953,7.089000225067139,2.515700101852417,798.0,2207.75,16.990000000000002,-2.030900910713933,35.18751249072841,-1.1813349084465408,0.14785714285714288,-1.7889030024609003
2022-09-23,16.05,3693.22998046875,113.19000244140625,78.73999786376953,6.828000068664551,2.382999897003174,802.0,2157.5,16.726000000000003,-2.3783822685146885,27.878605266310913,-4.9733570159857905,0.19642857142857142,-2.083771324844095
2022-09-26,16.07,3655.0400390625,114.0999984741211,76.70999908447266,6.9029998779296875,2.384200096130371,799.0,2126.25,16.506,-2.6191371050228227,28.35000120506656,-6.894553881807653,0.19785714285714281,-1.6967836999241186
2022-09-27,16.17,3647.2900390625,114.11000061035156,78.5,6.651000022888184,2.4930999279022217,802.0,2098.75,16.360000000000003,-2.7342283198789925,30.785963626510892,-5.659276546091007,0.19571428571428587,-1.0660356988273918
2022-09-28,16.27,3719.0400390625,112.5999984741211,82.1500015258789,6.868000030517578,2.577899932861328,786.0,2114.25,16.258000000000003,-2.7479494103618727,33.23061240578046,-5.735805330243348,0.18571428571428555,-0.39290827121260463
2022-09-29,16.32,3640.469970703125,112.25,81.2300033569336,6.874000072479248,2.5076000690460205,783.0,2192.75,16.176,-2.7049242733866783,34.476768067323775,-6.849315068493144,0.1864285714285714,0.23636279201277333
2022-09-30,16.48,3585.6201171875,112.12000274658203,79.48999786376953,6.765999794006348,2.472599983215332,776.0,2157.25,16.262,-2.5645390228276397,38.43638932154441,-5.123776626367304,0.17142857142857132,0.7904861549674465
2022-10-03,16.94,3678.429931640625,111.75,83.62999725341797,6.46999979019165,2.5129001140594482,770.0,2213.0,16.436,-2.205028231708581,48.13962389308212,-1.3395457192778126,0.1957142857142856,1.263492425724591
2022-10-04,17.02,3790.929931640625,110.06999969482422,86.5199966430664,6.836999893188477,2.683000087738037,774.0,2347.25,16.606,-1.8599695101045879,49.62662181924186,0.7100591715976323,0.19285714285714256,1.6603138614230044
2022-10-05,16.96,3783.280029296875,111.06999969482422,87.76000213623047,6.929999828338623,2.6684999465942383,757.0,2359.25,16.744,-1.5969991087627655,48.503330991780906,1.0727056019070202,0.17857142857142833,1.3535304613520829
2022-10-06,17.31,3744.52001953125,112.26000213623047,88.44999694824219,6.9720001220703125,2.6814000606536865,750.0,2355.0,16.942,-1.2066694849784285,54.91422396084097,3.466826060968309,0.19285714285714256,1.4231617557456069
2022-10-07,17.24,3639.659912109375,112.80000305175781,92.63999938964844,6.748000144958496,2.734600067138672,748.0,2295.75,17.094,-0.9207076105641483,53.48022996409953,7.414330218068521,0.18357142857142833,1.0040871256569908
2022-10-10,17.29,3612.389892578125,113.13999938964844,91.12999725341797,6.434999942779541,2.62280011177063,750.0,2258.0,17.163999999999998,-0.6629303006999592,54.39628042334549,7.591785936527695,0.16785714285714246,1.0595486746519214
