,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2022-09-01,80.32,3456.699951171875,1.003905177116394,86.61000061035156,9.26200008392334,2.3852999210357666,781.0,2277.25,83.284,-0.3875115681023481,38.13610405756756,-16.0096204120046,2.1400000000000006,-0.3014673306441118
2022-09-02,77.44,3544.3798828125,0.995232880115509,86.87000274658203,8.78600025177002,2.463599920272827,780.0,2276.5,80.786,-1.1294053613956165,33.99735929386246,-20.639475302316047,2.21,-0.5337705574053846
2022-09-05,74.04,3490.010009765625,0.9909427762031555,86.87749862670898,8.305250406265259,2.4278249740600586,776.25,2255.125,78.346,-2.0332605447861587,29.87528771042369,-19.30245231607629,2.3621428571428567,-0.8984609176799605
2022-09-06,69.57,3500.139892578125,0.9952229857444763,86.87999725341797,8.145000457763672,2.4158999919891357,775.0,2248.0,76.194,-3.1729280277670155,25.498131976818982,-21.769931406724407,2.415,-1.2841559816395627
2022-09-07,68.71,3502.090087890625,0.9897951483726501,81.94000244140625,7.8420000076293945,2.3076999187469482,800.0,2221.0,74.01599999999999,-4.1448854121077225,24.74689622058547,-22.658712291760473,2.460000000000001,-1.6433806912921671
2022-09-08,66.93,3512.3798828125,0.9995701909065247,83.54000091552734,7.914999961853027,2.346100091934204,812.0,2240.25,71.338,-5.068962296155385,23.221889773462408,-24.747020463233625,2.4478571428571425,-1.9591198278507624
2022-09-09,65.72,3570.0400390625,1.0012015104293823,86.79000091552734,7.995999813079834,2.4330999851226807,818.0,2275.75,68.994,-5.891598403272028,22.219502984375566,-26.92093850772824,2.1178571428571433,-2.2283658539110274
2022-09-12,71.45,3646.510009765625,1.0071406364440918,87.77999877929688,8.24899959564209,2.4447999000549316,805.0,2272.5,68.476,-5.88782747054908,36.25261744404811,-17.14981447124303,2.325714285714287,-1.8177514233074055
2022-09-13,69.35,3586.179931640625,1.0129557847976685,87.30999755859375,8.284000396728516,2.4804000854492188,805.0,2299.5,68.432,-6.048494016718422,33.842723059296944,-13.668616955060386,2.4692857142857156,-1.8027044813961597
2022-09-14,72.15,3567.56005859375,0.9982032775878906,88.4800033569336,9.11400032043457,2.5244998931884766,793.0,2259.25,69.12,-5.813428731628479,39.607288702519405,-9.359296482412049,2.66214285714286,-1.3144848704873624
