,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2022-09-01,59.33,3184.97998046875,6.888899803161621,86.61000061035156,9.26200008392334,2.3852999210357666,781.0,59.702,-0.4038381416246445,40.40540749108212,-1.8527708850289537,0.3614285714285716,-1.4519803631273085
2022-09-02,59.75,3186.47998046875,6.9054999351501465,86.87000274658203,8.78600025177002,2.463599920272827,780.0,59.564,-0.32239662448831113,44.876750319849684,-1.1579818031430933,0.39142857142857174,-1.1021965709137653
2022-09-05,59.89,3199.912109375,6.89900016784668,86.87749862670898,8.305250406265259,2.4278249740600586,776.25,59.74399999999999,-0.22291614439551755,46.32247964058589,-0.9263854425144769,0.4007142857142857,-0.5407216949251534
2022-09-06,58.94,3243.449951171875,6.93310022354126,86.87999725341797,8.145000457763672,2.4158999919891357,775.0,59.522000000000006,-0.3965375948167023,38.87221474208209,-2.3363711681855914,0.4471428571428575,-0.5800527279366179
2022-09-07,60.05,3246.2900390625,6.953100204467773,81.94000244140625,7.8420000076293945,2.3076999187469482,800.0,59.592,-0.18514020291296615,49.16093830616134,-1.4766201804758072,0.5042857142857144,-0.22522881162888808
2022-09-08,60.0,3235.590087890625,6.9653000831604,83.54000091552734,7.914999961853027,2.346100091934204,812.0,59.726,-0.07144189599869619,48.76279161823784,-0.7444168734491385,0.5078571428571428,-0.3777800448094659
2022-09-09,58.0,3262.050048828125,6.956500053405762,86.79000091552734,7.995999813079834,2.4330999851226807,818.0,59.376,-0.5144885552033287,36.15076000735451,-4.037061548643283,0.6507142857142857,-0.7240255452188435
2022-09-12,59.5,3263.362548828125,6.92549991607666,87.77999877929688,8.24899959564209,2.4447999000549316,805.0,59.298,-0.34277370016283326,47.18410252871504,0.8645533141210304,0.7507142857142856,-0.48166910945732866
2022-09-13,60.0,3263.800048828125,6.925000190734863,87.30999755859375,8.284000396728516,2.4804000854492188,805.0,59.510000000000005,-0.10085815064189024,50.26900839304634,-0.08326394671106518,0.7435714285714283,-0.02055337578604366
2022-09-14,58.0,3237.5400390625,6.924099922180176,88.4800033569336,9.11400032043457,2.5244998931884766,793.0,59.1,-0.47389930318175133,40.163587161437476,-2.8475711892797406,0.8507142857142854,-0.14822845057633316
2022-09-15,58.0,3199.919921875,6.960999965667725,85.0999984741211,8.324000358581543,2.4286999702453613,800.0,58.7,-0.6509839467043427,40.163587161437476,-2.241698971852346,0.8499999999999994,-0.1869838493017859
2022-09-16,58.0,3126.39990234375,6.993000030517578,85.11000061035156,7.763999938964844,2.4156999588012695,789.0,58.7,-0.7094114934818943,40.163587161437476,-2.9288702928870314,0.7464285714285711,-0.1858397988438547
