,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2022-09-01,87.1,11609.8203125,0.6111199259757996,86.61000061035156,9.26200008392334,2.3852999210357666,781.0,86.69,0.9262892252858933,86.75756535734885,2.1101992966002348,0.5607142857142853,2.4951092265855994
2022-09-02,87.05,11628.25,0.6084908843040466,86.87000274658203,8.78600025177002,2.463599920272827,780.0,86.86,0.8279096340903979,86.00046641494586,1.8128654970760216,0.5285714285714279,2.035693874629075
2022-09-05,87.15,11619.0400390625,0.6086316108703613,86.87749862670898,8.305250406265259,2.4278249740600586,776.25,86.96,0.7412623519350742,86.25874381090695,1.9298245614035148,0.3392857142857143,1.9808699693169451
2022-09-06,87.3,11599.23046875,0.6105490922927856,86.87999725341797,8.145000457763672,2.4158999919891357,775.0,87.08,0.6749783027600983,86.65641248658065,1.452643811737353,0.34642857142857103,2.0965447381149875
2022-09-07,85.5,11548.2998046875,0.6033000349998474,81.94000244140625,7.8420000076293945,2.3076999187469482,800.0,86.82000000000001,0.283895151374096,63.06913759919138,-0.1168224299065379,0.34285714285714264,1.6350894400673708
2022-09-08,85.7,11677.9296875,0.6062516570091248,83.54000091552734,7.914999961853027,2.346100091934204,812.0,86.53999999999999,0.08786308784167193,64.23403891647598,0.0,0.34285714285714264,1.6158495963144937
2022-09-09,85.5,11757.76953125,0.6070399284362793,86.79000091552734,7.995999813079834,2.4330999851226807,818.0,86.22999999999999,-0.059827698787342926,62.123749455830705,-0.8120649651972234,0.35714285714285715,1.1429015151142714
2022-09-12,85.0,11813.2099609375,0.611291766166687,87.77999877929688,8.24899959564209,2.4447999000549316,805.0,85.8,-0.22536722791980662,57.07538883538667,-1.9042123485285667,0.35357142857142876,0.5273407987037935
2022-09-13,84.0,11762.150390625,0.6146697402000427,87.30999755859375,8.284000396728516,2.4804000854492188,805.0,85.14,-0.48029019124108885,48.57364384769965,-3.114186851211076,0.39285714285714285,-0.09060138516447402
2022-09-14,84.0,11658.0400390625,0.6005104780197144,88.4800033569336,9.11400032043457,2.5244998931884766,793.0,84.84,-0.5916583862462947,48.57364384769965,-3.2258064516129004,0.3857142857142851,-0.3351594253683583
