market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
Australia,RNN,0,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[32.9931755065918, 32.98003387451172, 32.99698257446289, 32.98048400878906, 32.97441101074219, 32.98677062988281, 32.98853302001953, 32.99542999267578, 32.98464584350586, 32.961673736572266, 32.95193862915039, 32.98430252075195, 32.89293670654297, 31.34803581237793, 31.00023078918457]"
Australia,RNN,1,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.14051055908203, 33.128971099853516, 33.141239166259766, 33.12372589111328, 33.11383056640625, 33.137489318847656, 33.13899230957031, 33.15422439575195, 33.14065170288086, 33.13078308105469, 33.1209602355957, 33.15748977661133, 33.06764602661133, 31.402442932128906, 31.00023078918457]"
Australia,RNN,2,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.13069152832031, 33.1234130859375, 33.12617492675781, 33.104026794433594, 33.06825256347656, 33.09659194946289, 33.087398529052734, 33.09115219116211, 33.11184310913086, 33.113380432128906, 33.128211975097656, 33.16648483276367, 33.076377868652344, 31.234375, 31.00023078918457]"
Australia,RNN,3,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.11409378051758, 33.0921516418457, 33.08654022216797, 33.06681442260742, 33.039283752441406, 33.095855712890625, 33.07625198364258, 33.081787109375, 33.105892181396484, 33.13335418701172, 33.152278900146484, 33.18844985961914, 33.09303283691406, 31.003034591674805, 31.00023078918457]"
Australia,RNN,4,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.12845230102539, 33.118099212646484, 33.10375213623047, 33.07068634033203, 33.02043533325195, 33.04451370239258, 33.00584411621094, 33.07252502441406, 33.134944915771484, 33.110984802246094, 33.097938537597656, 33.120872497558594, 33.00550079345703, 31.388683319091797, 31.00023078918457]"
Australia,RNN,5,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.18415451049805, 33.15321731567383, 33.118831634521484, 33.07881164550781, 33.02568054199219, 33.10289764404297, 33.06125259399414, 33.09043502807617, 33.18388748168945, 33.20853042602539, 33.21940994262695, 33.248958587646484, 33.135047912597656, 31.27654266357422, 31.00023078918457]"
Australia,RNN,6,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.18336486816406, 33.209197998046875, 33.21732711791992, 33.213871002197266, 33.19657897949219, 33.196922302246094, 33.18047332763672, 33.1775016784668, 33.20284652709961, 33.22279357910156, 33.256134033203125, 33.26863479614258, 33.20085906982422, 31.834693908691406, 31.00023078918457]"
Australia,RNN,7,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.149784088134766, 33.14784240722656, 33.13055419921875, 33.11162185668945, 33.09087371826172, 33.118011474609375, 33.12629699707031, 33.13004684448242, 33.15283966064453, 33.19015884399414, 33.24522018432617, 33.279502868652344, 33.20908737182617, 31.70623016357422, 31.00023078918457]"
Australia,RNN,8,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.1795768737793, 33.20730209350586, 33.214691162109375, 33.2105712890625, 33.192867279052734, 33.186248779296875, 33.16661834716797, 33.1684455871582, 33.19927215576172, 33.21751022338867, 33.236053466796875, 33.24192810058594, 33.17198181152344, 31.911293029785156, 31.00023078918457]"
Australia,RNN,9,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[33.22168674698795, 33.39518072289157, 33.45301204819277, 33.51084337349398, 33.56867469879518, 33.626506024096386, 33.8, 33.8, 33.8, 33.8, 33.8, 13.519999999999998, 6.759999999999998, 6.76, 13.52]","[33.18645477294922, 33.19063186645508, 33.17609786987305, 33.159061431884766, 33.137882232666016, 33.148258209228516, 33.136104583740234, 33.13988494873047, 33.1816520690918, 33.222267150878906, 33.26504135131836, 33.290199279785156, 33.23759078979492, 32.00421905517578, 31.00023078918457]"
