,Trade Price
2023-10-11,2850.0
2023-10-12,1670.0
2023-10-13,1677.5
2023-10-14,1685.0
2023-10-15,1692.5
2023-10-16,1700.0
2023-10-17,1683.3333333333333
2023-10-18,1666.6666666666667
2023-10-19,1650.0
2023-10-20,1626.6666666666667
2023-10-21,1603.3333333333333
2023-10-22,1580.0
2023-10-23,1556.6666666666667
2023-10-24,1533.3333333333333
2023-10-25,1510.0
2023-10-26,1555.0
2023-10-27,1600.0
2023-10-28,1583.3333333333333
2023-10-29,1566.6666666666667
2023-10-30,1550.0
2023-10-31,1558.2857142857142
2023-11-01,1566.5714285714287
2023-11-02,1574.857142857143
2023-11-03,1583.142857142857
2023-11-04,1591.4285714285713
2023-11-05,1599.7142857142858
2023-11-06,1608.0
2023-11-07,1622.0
2023-11-08,1636.0
2023-11-09,1650.0
2023-11-10,1649.2307692307693
2023-11-11,1648.4615384615386
2023-11-12,1647.6923076923076
2023-11-13,1646.923076923077
2023-11-14,1646.1538461538462
2023-11-15,1645.3846153846155
2023-11-16,1644.6153846153845
2023-11-17,1643.8461538461538
2023-11-18,1643.076923076923
2023-11-19,1642.3076923076924
2023-11-20,1641.5384615384614
2023-11-21,1640.7692307692307
2023-11-22,1640.0
2023-11-23,1670.0
2023-11-24,1700.0
2023-11-25,1700.0
2023-11-26,1700.0
2023-11-27,1700.0
2023-11-28,1697.0
2023-11-29,1695.0
2023-11-30,1697.0
2023-12-01,1698.0
2023-12-02,1698.0
2023-12-03,1698.0
2023-12-04,1698.0
2023-12-05,1698.0
2023-12-06,1698.0
2023-12-07,1697.8
2023-12-08,1697.6
2023-12-09,1697.4
2023-12-10,1697.2
2023-12-11,1697.0
2023-12-12,1697.0
2023-12-13,1695.0
2023-12-14,1695.0
2023-12-15,1695.0
2023-12-16,1696.0
2023-12-17,1697.0
2023-12-18,1698.0
2023-12-19,1699.0
2023-12-20,1699.0
2023-12-21,1699.0
2023-12-22,1680.0
2023-12-23,1676.6666666666667
2023-12-24,1673.3333333333333
2023-12-25,1670.0
2023-12-26,1680.0
2023-12-27,1680.0
2023-12-28,1682.5
2023-12-29,1685.0
2023-12-30,1687.5
2023-12-31,1690.0
2024-01-01,1692.5
2024-01-02,1695.0
2024-01-03,1697.5
2024-01-04,1700.0
2024-01-05,1698.5714285714287
2024-01-06,1697.142857142857
2024-01-07,1695.7142857142858
2024-01-08,1694.2857142857142
2024-01-09,1692.857142857143
2024-01-10,1691.4285714285713
2024-01-11,1690.0
2024-01-12,1690.0
2024-01-13,1690.0
2024-01-14,1690.0
2024-01-15,1690.0
2024-01-16,1690.0
2024-01-17,1690.0
2024-01-18,1686.0
2024-01-19,1682.0
2024-01-20,1678.0
2024-01-21,1674.0
2024-01-22,1670.0
2024-01-23,1670.0
2024-01-24,1670.0
2024-01-25,1670.0
2024-01-26,1670.0
2024-01-27,1670.0
2024-01-28,1670.0
2024-01-29,1670.0
2024-01-30,1668.888888888889
2024-01-31,1667.7777777777778
2024-02-01,1666.6666666666667
2024-02-02,1665.5555555555557
2024-02-03,1664.4444444444443
2024-02-04,1663.3333333333333
2024-02-05,1662.2222222222222
2024-02-06,1661.111111111111
2024-02-07,1660.0
2024-02-08,1651.0
2024-02-09,1651.0
2024-02-10,1644.8
2024-02-11,1638.6
2024-02-12,1632.4
2024-02-13,1626.2
2024-02-14,1620.0
2024-02-15,1617.142857142857
2024-02-16,1614.2857142857142
2024-02-17,1611.4285714285713
2024-02-18,1608.5714285714287
2024-02-19,1605.7142857142858
2024-02-20,1602.857142857143
2024-02-21,1600.0
2024-02-22,1606.3333333333333
2024-02-23,1612.6666666666667
2024-02-24,1619.0
2024-02-25,1625.3333333333333
2024-02-26,1631.6666666666667
2024-02-27,1638.0
2024-02-28,1597.0
2024-02-29,1596.0
2024-03-01,1595.0
2024-03-02,1594.0
2024-03-03,1593.0
2024-03-04,1592.0
2024-03-05,1591.0
2024-03-06,1590.0
2024-03-07,1602.5
2024-03-08,1615.0
2024-03-09,1613.5
2024-03-10,1612.0
2024-03-11,1610.5
2024-03-12,1609.0
2024-03-13,1606.888888888889
2024-03-14,1604.7777777777778
2024-03-15,1602.6666666666667
2024-03-16,1600.5555555555557
2024-03-17,1598.4444444444443
2024-03-18,1596.3333333333333
2024-03-19,1594.2222222222222
2024-03-20,1592.111111111111
2024-03-21,1590.0
2024-03-22,1620.0
2024-03-23,1620.0
2024-03-24,1620.0
2024-03-25,1620.0
2024-03-26,1620.0
2024-03-27,1620.0
2024-03-28,1610.0
2024-03-29,1600.0
2024-03-30,1600.0
2024-03-31,1600.0
2024-04-01,1600.0
2024-04-02,1599.3
2024-04-03,1598.6
2024-04-04,1597.9
2024-04-05,1597.2
2024-04-06,1596.5
2024-04-07,1595.8
2024-04-08,1595.1
2024-04-09,1594.4
