market,model,config_index,hidden_units,num_layers,activation,learning_rate,batch_size,epochs,train_loss_last,RMSE,MAPE,R2,n_samples,channels,blocks,kernel_size,n_features,features
Australia,naive_last_price,-1,,,,,,,,0.1048281793358991,0.002959464123090952,0.6166666666666676,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,0,32.0,2.0,relu,0.01,16.0,32.0,0.0003357348567806184,0.3984396971595238,0.011661599627702099,-4.5379075621819664,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,1,32.0,2.0,relu,0.01,32.0,32.0,0.0021771597675979137,0.43095910176412994,0.01298010256112512,-5.478770772966856,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,2,32.0,2.0,relu,0.01,64.0,32.0,0.0021771597675979137,0.43095910176412994,0.01298010256112512,-5.478770772966856,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,3,32.0,2.0,relu,0.003,16.0,32.0,0.004581078311894089,0.4212644993451618,0.0126181180270691,-5.190564081448642,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,4,32.0,2.0,relu,0.003,32.0,32.0,0.03271132707595825,0.3950864611961938,0.011852259081018363,-4.445086643461771,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,5,32.0,2.0,relu,0.003,64.0,32.0,0.03271132707595825,0.3950864611961938,0.011852259081018363,-4.445086643461771,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,6,32.0,2.0,relu,0.001,16.0,32.0,0.08806505558546633,0.4319041106003065,0.012754225357530295,-5.507215274170497,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,7,32.0,2.0,relu,0.001,32.0,32.0,0.17704765498638153,0.4173074195516157,0.012059530171040536,-5.074810184023352,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,8,32.0,2.0,relu,0.001,64.0,32.0,0.17704765498638153,0.4173074195516157,0.012059530171040536,-5.074810184023352,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,9,32.0,2.0,tanh,0.01,16.0,32.0,0.00046821843017823994,0.4646171540775486,0.013478784533067983,-6.530277490378577,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,10,32.0,2.0,tanh,0.01,32.0,32.0,0.00251028616912663,0.4426388544877395,0.012894831596221968,-5.834701725827217,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,11,32.0,2.0,tanh,0.01,64.0,32.0,0.00251028616912663,0.4426388544877395,0.012894831596221968,-5.834701725827217,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,12,32.0,2.0,tanh,0.003,16.0,32.0,0.015356908189132809,0.4109152015114224,0.012147892628562893,-4.890130480703243,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
Australia,mlp,13,32.0,2.0,tanh,0.003,32.0,32.0,0.03640225902199745,0.5116992667139424,0.015707363249689972,-8.133770368771081,7,,,,12,"equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10"
