market,model,config_index,n_windows,MAPE,RMSE_over_mean_price,MAE,R2,RMSE,mean_price,n_samples,hyperparams_json
Australia,gru,272,68,0.003618356378388799,0.008014049058936688,0.11486009550320683,0.9713361169550685,0.2547831474948387,31.79206236711553,68,"{""activation"": ""relu"", ""batch_size"": 32, ""epochs"": 64, ""hidden_units"": 128, ""learning_rate"": 0.01, ""num_layers"": 2}"
Australia,lstm,272,68,0.004086991725252286,0.009019763664235353,0.1288371437305675,0.9636904098825507,0.28675688895001283,31.79206236711553,68,"{""activation"": ""relu"", ""batch_size"": 32, ""epochs"": 64, ""hidden_units"": 128, ""learning_rate"": 0.01, ""num_layers"": 2}"
Australia,mlp,242,68,0.0042136110856063605,0.007795401450043167,0.1330742960618892,0.9728788562354869,0.24783188907647521,31.79206236711553,68,"{""activation"": ""tanh"", ""batch_size"": 32, ""epochs"": 64, ""hidden_units"": 64, ""learning_rate"": 0.01, ""num_layers"": 4}"
Australia,naive_last_price,-1,68,0.00221928501853181,0.002737476170287832,0.06973777462792341,0.9966554959635682,0.08703001313428332,31.79206236711553,68,{}
Australia,rnn,48,68,0.004329566485176023,0.006522927851156096,0.13561731681271266,0.9810103841372152,0.2073773290601495,31.79206236711553,68,"{""activation"": ""relu"", ""batch_size"": 32, ""epochs"": 16, ""hidden_units"": 32, ""learning_rate"": 0.003, ""num_layers"": 3}"
Australia,tcn,107,68,0.004084544682242784,0.006937911235052067,0.12853512630140318,0.9785173175963996,0.22057050668228684,31.79206236711553,68,"{""activation"": ""tanh"", ""batch_size"": 32, ""blocks"": 4, ""channels"": 32, ""epochs"": 64, ""kernel_size"": 5, ""learning_rate"": 0.01}"
California,gru,371,68,0.009414856610460931,0.012187505070631979,0.16150044742486755,0.7734341550000575,0.20984105697384228,17.217720588235295,68,"{""activation"": ""relu"", ""batch_size"": 32, ""epochs"": 64, ""hidden_units"": 128, ""learning_rate"": 0.0003, ""num_layers"": 4}"
California,lstm,139,68,0.009590159951089224,0.012360723016730992,0.16467745170262263,0.7669481413854217,0.2128234751706431,17.217720588235295,68,"{""activation"": ""relu"", ""batch_size"": 32, ""epochs"": 32, ""hidden_units"": 64, ""learning_rate"": 0.003, ""num_layers"": 2}"
California,mlp,128,68,0.009343918590955808,0.012001512472079838,0.16097015066819848,0.7802965974122942,0.20663868838049168,17.217720588235295,68,"{""activation"": ""swish"", ""batch_size"": 32, ""epochs"": 64, ""hidden_units"": 32, ""learning_rate"": 0.001, ""num_layers"": 4}"
California,naive_last_price,-1,68,0.008269047293819531,0.01134112056154803,0.1425367647058826,0.8038100502969121,0.19526824498622414,17.217720588235295,68,{}
