timeframe,ticker,market,model_name,config_index,window_id,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,0,{},2022-09-14 00:00:00,2022-09-14 00:00:00,[58.0],[58.0]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,1,{},2022-09-15 00:00:00,2022-09-15 00:00:00,[58.0],[58.0]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,2,{},2022-09-16 00:00:00,2022-09-16 00:00:00,[57.29],[58.0]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,3,{},2022-09-19 00:00:00,2022-09-19 00:00:00,[56.96],[57.29]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,4,{},2022-09-20 00:00:00,2022-09-20 00:00:00,[57.0],[56.96]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,5,{},2022-09-21 00:00:00,2022-09-21 00:00:00,[51.86],[57.0]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,6,{},2022-09-22 00:00:00,2022-09-22 00:00:00,[56.45],[51.86]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,7,{},2022-09-23 00:00:00,2022-09-23 00:00:00,[54.7475],[56.45]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,8,{},2022-09-26 00:00:00,2022-09-26 00:00:00,[54.18],[54.7475]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,9,{},2022-09-27 00:00:00,2022-09-27 00:00:00,[53.02],[54.18]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,10,{},2022-09-28 00:00:00,2022-09-28 00:00:00,[53.0],[53.02]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,11,{},2022-09-29 00:00:00,2022-09-29 00:00:00,[54.0],[53.0]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,12,{},2022-09-30 00:00:00,2022-09-30 00:00:00,[53.835],[54.0]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,13,{},2022-10-03 00:00:00,2022-10-03 00:00:00,[53.78],[53.835]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,14,{},2022-10-04 00:00:00,2022-10-04 00:00:00,[53.725],[53.78]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,15,{},2022-10-05 00:00:00,2022-10-05 00:00:00,[53.67],[53.725]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,16,{},2022-10-06 00:00:00,2022-10-06 00:00:00,[53.615],[53.67]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,17,{},2022-10-07 00:00:00,2022-10-07 00:00:00,[53.45],[53.615]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,18,{},2022-10-10 00:00:00,2022-10-10 00:00:00,[54.89],[53.45]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,19,{},2022-10-11 00:00:00,2022-10-11 00:00:00,[54.36],[54.89]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,20,{},2022-10-12 00:00:00,2022-10-12 00:00:00,[54.31],[54.36]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,21,{},2022-10-13 00:00:00,2022-10-13 00:00:00,[54.59],[54.31]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,22,{},2022-10-14 00:00:00,2022-10-14 00:00:00,[57.08],[54.59]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,23,{},2022-10-17 00:00:00,2022-10-17 00:00:00,[54.56],[57.08]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,24,{},2022-10-18 00:00:00,2022-10-18 00:00:00,[55.14],[54.56]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,25,{},2022-10-19 00:00:00,2022-10-19 00:00:00,[55.5],[55.14]
co2,Shanghai,Shanghai,NAIVE_LAST_PRICE,-1,26,{},2022-10-20 00:00:00,2022-10-20 00:00:00,[55.38],[55.5]
